Commit_Hash,Date,Placed_Timestamp,Minutes_to_Kickoff,Competition,Home,Away,Side,Signal,Bookmaker,Odds,Conviction,Model_Prob,Fair_Odds,Allocation,Kelly_Pct,Closing_Odds,CLV_Pct,Home_Score,Away_Score,Settlement,Net_PnL
43cfe770848d1a58123c7299f9764df1b62b2bac,2026-07-25 18:30,2026-07-25 17:51,39,KOR1,GIM,DAE,,1,PIN,2.98,1,0.5,2,3,0.0619,3.09,-0.0356,3,2,✅ Win,5.94
43cfe770848d1a58123c7299f9764df1b62b2bac,2026-07-25 18:30,2026-07-25 17:51,39,KOR2,BUS,SSB,,U2.5,PIN,1.96,3,0.7,1.43,5,0.0969,1.99,-0.0151,1,4,❌ Lose,-5
43cfe770848d1a58123c7299f9764df1b62b2bac,2026-07-25 18:30,2026-07-25 17:51,39,KOR2,DGU,SUW,,2,PIN,3.31,3,0.6,1.67,5,0.1067,3.29,0.0061,1,2,✅ Win,11.55
43cfe770848d1a58123c7299f9764df1b62b2bac,2026-07-25 18:30,2026-07-25 17:51,39,KOR2,JND,GYE,,2,PIN,2.65,3,0.75,1.33,7,0.1496,2.77,-0.0433,1,1,❌ Lose,-7
43cfe770848d1a58123c7299f9764df1b62b2bac,2026-07-25 18:30,2026-07-25 17:51,39,KOR2,HWA,ASN,,1,PIN,2.26,3,0.75,1.33,7,0.1379,2.38,-0.0504,3,2,✅ Win,8.82
b618595571d6b7fb2f57a79a959a18c1696aa3d5,2026-07-26 18:30,2026-07-26 18:23,7,KOR1,ANY,GAN,,2,PIN,2.01,3,0.6,1.67,2,0.051,-,-,-,-,-,-
b618595571d6b7fb2f57a79a959a18c1696aa3d5,2026-07-26 18:30,2026-07-26 18:23,7,KOR1,GWA,JEJ,,2,PIN,2.12,3,0.6,1.67,2,0.0607,-,-,-,-,-,-
b618595571d6b7fb2f57a79a959a18c1696aa3d5,2026-07-26 18:30,2026-07-26 18:23,7,KOR1,INC,BUC,,1,PIN,1.65,2,0.6,1.67,1,0,-,-,-,-,-,-
b618595571d6b7fb2f57a79a959a18c1696aa3d5,2026-07-26 18:30,2026-07-26 18:23,7,KOR1,SEO,ULS,,2,PIN,4.35,2,0.55,1.82,5,0.1039,-,-,-,-,-,-
b618595571d6b7fb2f57a79a959a18c1696aa3d5,2026-07-26 18:30,2026-07-26 18:23,7,KOR2,GMP,YON,,2,PIN,4.72,1,0.5,2,4.5,0.0914,-,-,-,-,-,-
b618595571d6b7fb2f57a79a959a18c1696aa3d5,2026-07-26 18:30,2026-07-26 18:23,7,KOR2,PAJ,ANS,,X,PIN,3.86,1,0.5,2,4,0.0813,-,-,-,-,-,-
418fef12ed0f2a9558f32c229fd4d31b34264e01,2026-07-26 19:00,2026-07-26 18:38,22,SWE2,SDV,FLK,,2,PIN,1.96,2,0.6,1.67,2,0.0458,-,-,-,-,-,-
